objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,country,region,subregion,primaryImage,objectURL,objectWikidata_URL
met:311559,met,311559,Spear,Spear,The Michael C. Rockefeller Wing,Asmat people,,,mid-20th century,Wood,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",1978,,,Indonesia,,,,https://www.metmuseum.org/art/collection/search/311559,
met:311563,met,311563,Canoe Prow,Canoe prow,The Michael C. Rockefeller Wing,Asmat people,,,mid-20th century,"Wood, paint","The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",1978,,,Indonesia,,,https://collectionapi.metmuseum.org/api/collection/v1/iiif/311563/645361/restricted,https://www.metmuseum.org/art/collection/search/311563,
met:314262,met,314262,Twin Figure: Female (Ibeji),Twin figure,The Michael C. Rockefeller Wing,Yoruba peoples,,,19th–20th century,"Wood, beads, camwood powder","Gift of Dr. Jeffrey S. Hammer, 1980",1980,,,Nigeria,,,,https://www.metmuseum.org/art/collection/search/314262,
met:314266,met,314266,Heddle Pulley: Female Figure,Heddle pulley,The Michael C. Rockefeller Wing,Asante,,,19th–20th century,Wood,"Gift of Mr. and Mrs. Robert S. Gilliam Jr., 1980",1980,,,Ghana,,,,https://www.metmuseum.org/art/collection/search/314266,
met:314270,met,314270,Heddle Pulley with Figure,Heddle pulley,The Michael C. Rockefeller Wing,Baule peoples,,,19th–20th century,Wood,"Gift of Mr. and Mrs. Robert S. Gilliam Jr., 1980",1980,,,Côte d'Ivoire,central Côte d'Ivoire,,,https://www.metmuseum.org/art/collection/search/314270,
met:314274,met,314274,Heddle Pulley with Figure,Heddle pulley,The Michael C. Rockefeller Wing,Baule peoples,,,19th–mid-20th century,"Wood, iron","Gift of Mr. and Mrs. Robert S. Gilliam Jr., 1980",1980,,,Côte d'Ivoire,central Côte d'Ivoire,,,https://www.metmuseum.org/art/collection/search/314274,
met:316716,met,316716,Whistle,Whistle,The Michael C. Rockefeller Wing,Cupisnique,,,1200–500 BCE,Ceramic,"Gift of Conny and Fred Landmann, 1992",1992,,,Peru,,,https://images.metmuseum.org/CRDImages/ao/original/DP-24270-001.jpg,https://www.metmuseum.org/art/collection/search/316716,
met:316720,met,316720,Stirrup Spout Bottle: Frog,Bottle,The Michael C. Rockefeller Wing,Moche,,,2nd–5th century,Ceramic,"Gift of Conny and Fred Landmann, 1992",1992,,,Peru,,,https://images.metmuseum.org/CRDImages/ao/original/DP-23894-001.jpg,https://www.metmuseum.org/art/collection/search/316720,
met:316724,met,316724,Serpent (tunjo),Figure,The Michael C. Rockefeller Wing,Muisca,,,10th–16th century,Gold,"Jan Mitchell and Sons Collection, Gift of Jan Mitchell, 1992",1992,,,Colombia,,,https://images.metmuseum.org/CRDImages/ao/original/DP-32945-001.jpg,https://www.metmuseum.org/art/collection/search/316724,
met:316728,met,316728,Bird Pendant,Pendant,The Michael C. Rockefeller Wing,Muisca,,,10th–16th century,Gold (cast),"Purchase, Gifts in memory of Alice K. Bache, and Rogers Fund, 1992",1992,,,Colombia,,,https://images.metmuseum.org/CRDImages/ao/original/DT6877.jpg,https://www.metmuseum.org/art/collection/search/316728,
met:321470,met,321470,Stamp seal (scaraboid) with monster,Stamp seal,Ancient West Asian Art,Assyrian,Neo-Assyrian,,late 8th–7th century BCE,Mottled black and brown Limestone,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,Northern Syria or eastern Anatolia,,https://images.metmuseum.org/CRDImages/an/original/ss74_51_4390gp.jpg,https://www.metmuseum.org/art/collection/search/321470,
met:322066,met,322066,Cuneiform tablet: fragment of the witness list of a contract (?),Cuneiform tablet,Ancient West Asian Art,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,,ca. 7th–4th century BCE,Clay,"Purchase, 1886",1886,,,,Mesopotamia,,https://images.metmuseum.org/CRDImages/an/original/vs86.11.508.jpg,https://www.metmuseum.org/art/collection/search/322066,
